annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,15,,2023-04-10,2023-04-16,PRIX MOYEN PONDERE AUX 100 KG VIF,718.3,-1.9,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,764,-5.1,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S15.csv
2023,16,,2023-04-17,2023-04-23,ENTREE ABATTOIR,7.11,-0.07,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,NON ELEVES AU PIS,7.04,-0.08,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,ELEVES AU PIS,9.46,-0.1,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),703.8,-8,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),946,-9.9,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,PRIX MOYEN PONDERE AUX 100 KG VIF,711.3,-7,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,762.7,-1.3,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S16.csv
2023,17,,2023-04-24,2023-04-30,ENTREE ABATTOIR,7.08,-0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,NON ELEVES AU PIS,7.03,-0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,ELEVES AU PIS,9.3,-0.16,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),702.6,-1.2,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),930,-16,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,PRIX MOYEN PONDERE AUX 100 KG VIF,707.9,-3.4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,755.4,-7.3,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S17.csv
2023,18,,2023-05-01,2023-05-07,ENTREE ABATTOIR,7.01,-0.07,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,NON ELEVES AU PIS,6.99,-0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,ELEVES AU PIS,9.36,0.06,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),699.1,-3.5,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),935.8,5.8,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,PRIX MOYEN PONDERE AUX 100 KG VIF,701,-6.9,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,753.9,-1.5,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S18.csv
2023,19,,2023-05-08,2023-05-14,ENTREE ABATTOIR,7.03,0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,NON ELEVES AU PIS,6.95,-0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,ELEVES AU PIS,9.56,0.2,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),695.1,-4,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),956.2,20.4,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,PRIX MOYEN PONDERE AUX 100 KG VIF,702.7,1.7,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,755.6,1.7,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S19.csv
2023,20,,2023-05-15,2023-05-21,ENTREE ABATTOIR,6.99,-0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,NON ELEVES AU PIS,6.93,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,ELEVES AU PIS,9.13,-0.43,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),692.9,-2.2,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),913.2,-43,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,PRIX MOYEN PONDERE AUX 100 KG VIF,698.7,-4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,749.7,-5.9,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S20.csv
