annee,semaine,mois,date_debut,date_fin,type_racial,sexe,conformation,poids,marche,unite,prix,variation,source
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,> 60 kg,MOYENNE NATIONALE,EUR/tête,194.01,7.96,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,55 a 60 kg,CARE,EUR/tête,155,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,55 a 60 kg,CHAB,EUR/tête,190,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,55 a 60 kg,CHAG,EUR/tête,180,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,55 a 60 kg,LEZA,EUR/tête,180,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,55 a 60 kg,MOYENNE NATIONALE,EUR/tête,171.25,8.71,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,50 a 55 kg,CARE,EUR/tête,135,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,50 a 55 kg,CHAB,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,50 a 55 kg,CHAG,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,50 a 55 kg,LEZA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,50 a 55 kg,MOYENNE NATIONALE,EUR/tête,150.63,4.96,COT-VRO-veaux14j_9_marches-A25-S04.csv
