annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2024,1,,2024-01-01,2024-01-07,P.M.P AGNEAUX,8.84,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S01.csv
2024,1,,2024-01-01,2024-01-07,MOYENNE AGNEAUX METROPOLE RUNGIS,9.32,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S01.csv
2024,2,,2024-01-08,2024-01-14,P.M.P AGNEAUX,8.86,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S02.csv
2024,2,,2024-01-08,2024-01-14,MOYENNE AGNEAUX METROPOLE RUNGIS,9.38,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S02.csv
2024,3,,2024-01-15,2024-01-21,P.M.P AGNEAUX,8.81,-0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S03.csv
2024,3,,2024-01-15,2024-01-21,MOYENNE AGNEAUX METROPOLE RUNGIS,9.28,-0.1,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S03.csv
2024,4,,2024-01-22,2024-01-28,P.M.P AGNEAUX,8.72,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S04.csv
2024,4,,2024-01-22,2024-01-28,MOYENNE AGNEAUX METROPOLE RUNGIS,9.3,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S04.csv
2024,5,,2024-01-29,2024-02-04,P.M.P AGNEAUX,8.59,-0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S05.csv
2024,5,,2024-01-29,2024-02-04,MOYENNE AGNEAUX METROPOLE RUNGIS,9.42,0.12,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S05.csv
2024,6,,2024-02-05,2024-02-11,P.M.P AGNEAUX,8.5,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S06.csv
2024,6,,2024-02-05,2024-02-11,MOYENNE AGNEAUX METROPOLE RUNGIS,9.52,0.1,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S06.csv
2024,7,,2024-02-12,2024-02-18,P.M.P AGNEAUX,8.48,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S07.csv
2024,7,,2024-02-12,2024-02-18,MOYENNE AGNEAUX METROPOLE RUNGIS,9.64,0.12,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S07.csv
2024,8,,2024-02-19,2024-02-25,P.M.P AGNEAUX,8.53,0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S08.csv
2024,8,,2024-02-19,2024-02-25,MOYENNE AGNEAUX METROPOLE RUNGIS,9.68,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S08.csv
2024,9,,2024-02-26,2024-03-03,P.M.P AGNEAUX,8.67,0.14,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S09.csv
2024,9,,2024-02-26,2024-03-03,MOYENNE AGNEAUX METROPOLE RUNGIS,9.68,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S09.csv
2024,10,,2024-03-04,2024-03-10,P.M.P AGNEAUX,8.83,0.16,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S10.csv
2024,10,,2024-03-04,2024-03-10,MOYENNE AGNEAUX METROPOLE RUNGIS,9.97,0.29,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S10.csv
2024,11,,2024-03-11,2024-03-17,P.M.P AGNEAUX,9.07,0.24,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S11.csv
2024,11,,2024-03-11,2024-03-17,MOYENNE AGNEAUX METROPOLE RUNGIS,10.2,0.23,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S11.csv
2024,12,,2024-03-18,2024-03-24,P.M.P AGNEAUX,9.44,0.37,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S12.csv
2024,12,,2024-03-18,2024-03-24,MOYENNE AGNEAUX METROPOLE RUNGIS,10.75,0.55,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S12.csv
2024,13,,2024-03-25,2024-03-31,P.M.P AGNEAUX,9.54,0.1,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S13.csv
2024,13,,2024-03-25,2024-03-31,MOYENNE AGNEAUX METROPOLE RUNGIS,11.83,1.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S13.csv
2024,14,,2024-04-01,2024-04-07,P.M.P AGNEAUX,9.5,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S14.csv
2024,14,,2024-04-01,2024-04-07,MOYENNE AGNEAUX METROPOLE RUNGIS,12.02,0.19,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S14.csv
2024,15,,2024-04-08,2024-04-14,P.M.P AGNEAUX,9.56,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S15.csv
2024,15,,2024-04-08,2024-04-14,MOYENNE AGNEAUX METROPOLE RUNGIS,12.01,-0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S15.csv
2024,16,,2024-04-15,2024-04-21,P.M.P AGNEAUX,9.59,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S16.csv
2024,16,,2024-04-15,2024-04-21,MOYENNE AGNEAUX METROPOLE RUNGIS,12.02,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S16.csv
2024,17,,2024-04-22,2024-04-28,P.M.P AGNEAUX,9.62,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S17.csv
2024,17,,2024-04-22,2024-04-28,MOYENNE AGNEAUX METROPOLE RUNGIS,11.86,-0.16,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S17.csv
