annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Femelle,6/12,U,270,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,6/12,U,300,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,6/12,U,350,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,6/12,U,400,EUR/kg vif,3.52,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,12/24,U,450,EUR/kg vif,3.45,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,12/24,U,500,EUR/kg vif,3.37,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Femelle,6/12,U,270,EUR/kg vif,3.25,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Femelle,12/24,U,400,EUR/kg vif,3.15,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,U,300,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,U,350,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,U,400,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,12/24,U,450,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,12/24,U,500,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Femelle,6/12,U,270,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Femelle,12/24,U,400,EUR/kg vif,3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,U,250,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,U,300,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,U,350,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Femelle,6/12,U,270,EUR/kg vif,3.3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,U,300,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,U,350,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,U,400,EUR/kg vif,0.09,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,R,250,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,R,300,EUR/kg vif,0.04,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Femelle,6/12,R,270,EUR/kg vif,0.02,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Charolais,Mâle,6/12,R,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,R,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,R,400,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,12/24,R,450,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,12/24,R,500,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Femelle,6/12,R,270,EUR/kg vif,0.01,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Femelle,12/24,R,400,EUR/kg vif,2.75,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,R,250,EUR/kg vif,3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,R,300,EUR/kg vif,2.95,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Femelle,6/12,R,270,EUR/kg vif,2.85,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Salers,Mâle,6/12,R,300,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Salers,Mâle,6/12,R,350,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Salers,Mâle,6/12,R,400,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,R,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Aubrac/Gascons,Mâle,6/12,R,400,EUR/kg vif,0.13,,COT-VRO-GB_maigres-A23-S11.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,U,250,EUR/kg vif,3.75,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,U,300,EUR/kg vif,3.78,,COT-VRO-GB_maigres-A23-S12.csv
