annee,semaine,mois,date_debut,date_fin,espece,etat_engraissement,conformation,zone,poids,unite,prix,variation,source
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.78,-0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.78,-0.04,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.66,-0.06,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.78,-0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.75,-0.03,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),U,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.66,-0.09,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.36,0.04,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.45,-0.03,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.42,-0.04,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.71,-0.21,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.43,-0.06,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.37,-0.06,COT-VRO-ovins_synthese-A23-S03.csv
