annee,semaine,mois,date_debut,date_fin,poids,variation_pct,commentaire,unite,prix,variation,source
2025,48,,2025-11-24,2025-11-30,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S48.csv
2025,50,,2025-12-08,2025-12-14,8 à 11 kg,9.92,AUGMENTATION DE LA COTATION À L'APPROCHE DES FÊTES DE FIN D'ANNÉE.,EUR/kg vif,4.74,0.47,COT-VRO-caprins-A25-S50.csv
2025,51,,2025-12-15,2025-12-21,8 à 11 kg,1.66,,EUR/kg vif,4.82,0.08,COT-VRO-caprins-A25-S51.csv
2025,52,,2025-12-22,2025-12-28,8 à 11 kg,0,"PEU DE VOLUME,",EUR/kg vif,4.82,0,COT-VRO-caprins-A25-S52.csv
2026,1,,2025-12-29,2026-01-04,8 à 11 kg,-22.03,VOLUME PEU IMPORTANT.,EUR/kg vif,3.95,-0.87,COT-VRO-caprins-A26-S01.csv
2026,2,,2026-01-05,2026-01-11,8 à 11 kg,-3.95,,EUR/kg vif,3.8,-0.15,COT-VRO-caprins-A26-S02.csv
2026,3,,2026-01-12,2026-01-18,8 à 11 kg,0,PAS DE VOLUME.,EUR/kg vif,3.8,0,COT-VRO-caprins-A26-S03.csv
2026,4,,2026-01-19,2026-01-25,8 à 11 kg,0,TRÉS PEU DE VOLUME.,EUR/kg vif,3.8,0,COT-VRO-caprins-A26-S04.csv
2026,5,,2026-01-26,2026-02-01,8 à 11 kg,0,,EUR/kg vif,3.8,0,COT-VRO-caprins-A26-S05.csv
2026,6,,2026-02-02,2026-02-08,8 à 11 kg,-2.15,,EUR/kg vif,3.72,-0.08,COT-VRO-caprins-A26-S06.csv
2026,7,,2026-02-09,2026-02-15,8 à 11 kg,-0.27,,EUR/kg vif,3.71,-0.01,COT-VRO-caprins-A26-S07.csv
2026,8,,2026-02-16,2026-02-22,8 à 11 kg,0,,EUR/kg vif,3.71,0,COT-VRO-caprins-A26-S08.csv
2026,9,,2026-02-23,2026-03-01,8 à 11 kg,0,AUGMENTATION DES VOLUMES DANS UN MARCHÉ DE CONGELATION.,EUR/kg vif,3.71,0,COT-VRO-caprins-A26-S09.csv
2026,10,,2026-03-02,2026-03-08,8 à 11 kg,-0.27,VOLUME IMPORTANT DANS UN MARCHÉ DE CONGELATION.,EUR/kg vif,3.7,-0.01,COT-VRO-caprins-A26-S10.csv
2026,11,,2026-03-09,2026-03-15,8 à 11 kg,0,,EUR/kg vif,3.7,0,COT-VRO-caprins-A26-S11.csv
2026,12,,2026-03-16,2026-03-22,8 à 11 kg,4.64,,EUR/kg vif,3.88,0.18,COT-VRO-caprins-A26-S12.csv
2026,13,,2026-03-23,2026-03-29,8 à 11 kg,1.52,,EUR/kg vif,3.94,0.06,COT-VRO-caprins-A26-S13.csv
2026,14,,2026-03-30,2026-04-05,8 à 11 kg,0,,EUR/kg vif,3.94,0,COT-VRO-caprins-A26-S14.csv
2026,15,,2026-04-06,2026-04-12,8 à 11 kg,-7.95,,EUR/kg vif,3.65,-0.29,COT-VRO-caprins-A26-S15.csv
2026,16,,2026-04-13,2026-04-19,8 à 11 kg,-0.55,"VOLUME IMPORTANT, MARCHÉ DE CONGÉLATION.",EUR/kg vif,3.63,-0.02,COT-VRO-caprins-A26-S16.csv
